,rxn,Ea,A,beta,deltaE
0,NN + [NH] = [NH2] + N[NH],2000.0,1000000000.0,1.5,-0.006041563577980469
1,N=O + O=O = [N]=O + [O]O,9140.0,22000000000.0,0.0,-0.015413993507991108
2,N[NH] + O=O = [NH][NH] + [O]O,0.0,3000000000000.0,0.0,0.07931175539499691
3,[H][H] + [OH] = O + [H],3300.0,100000000.0,1.6,-0.006389122691984994
4,[N]O[N] + [H] = [NH] + [N]=O,37155.0,6.7e+22,-2.16,-0.1392933450899818
5,NN + [OH] = N[NH] + O,1290.0,30000000000.0,0.68,-0.03914356834098953
6,[NH][N][O] + [H] = [N]O[N] + [H][H],0.0,20000000000000.0,0.0,-0.02641637180798284
7,[NH2] + [OH] = NO,0.0,17900000000000.0,0.2,-0.042136932902991475
8,N[NH] = [NH][NH] + [H],37000.0,1e+16,0.0,0.136116656902999
9,N=O + [O] = [OH] + [N]=O,2000.0,500000000000.0,0.5,-0.06452897074197494
10,[NH] + [N] = N#N + [H],0.0,900000000000.0,0.5,-0.10234680164398924
11,[H] + [H] = [H][H],0.0,7e+17,-1.0,-0.1303717571419999
12,[N] + [OH] = [N]=O + [H],0.0,28000000000000.0,0.0,0.01919826991903051
13,N[O] + [NH2] = N=O + N,1000.0,3000000000000.0,0.0,-0.022675666385993054
14,[NH2] + [O]O = N + O=O,2027.0,16500.0,1.55,-0.07524349930099561
15,[NH]O + N=O = NO + [N]=O,3000.0,1000000000000.0,0.0,-0.06203274674902559
16,[NH] + [O]O = N=O + [OH],2000.0,10000000000000.0,0.0,-0.042370091777968355
17,[NH] = [N] + [H],75500.0,265000000000000.0,0.0,0.07880893861300109
18,[OH] + [OH] = O + [O],100.0,1500000000.0,1.14,-0.030841001091999942
19,[NH][NH] = [N][NH] + [H],50000.0,5e+16,0.0,0.11741738882500385
20,[N]=O + [O] = [O][N][O],0.0,1300000000000000.0,-0.75,0.05209371064998436
21,[N][NH] + [N]=O = N#N + N=O,0.0,50000000000000.0,0.0,-0.15577260952500183
22,O[N][O] + [H] = N=O + [OH],4970.0,56400000000.0,0.86,-0.0802125961249942
23,[O][N][O] + [NH] = [N]=O + N=O,-2270.0,124500000000.0,0.0,-0.10139728885997101
24,[NH][NH] + [O] = [N][NH] + [OH],1000.0,20000000000000.0,0.0,0.011497510083017914
25,[O][N][O] + [N] = [N]O[N] + [O],0.0,840000000000.0,0.0,0.008390695826960837
26,[N][NH] + O=O = N#N + [O]O,150.0,1200000000000.0,-0.34,-0.17118660303299293
27,N[NH] + [OH] = [NH][NH] + O,1290.0,30000000000.0,0.68,-0.0006442229310152925
28,[NH] + [OH] = [N]=O + [H][H],0.0,20000000000000.0,0.0,-0.032364548609962185
29,N[NH] + [OH] = N + N=O,15000.0,1000000000000.0,0.0,-0.01640076811401059
30,[NH][NH] + [N]=O = [N]O[N] + [NH2],0.0,30000000000.0,0.0,0.06220802034997064
31,[N][NH] + [NH] = N#N + [NH2],2000.0,200000000000.0,0.5,-0.21804057659596765
32,[N]=O = [N] + [O],148300.0,964000000000000.0,0.0,0.08672160882298385
33,[N] + O=O = [N]=O + [O],6500.0,9000000000.0,1.0,-0.030673145156981718
34,[O]O + [O]O = OO + O=O,12000.0,420000000000000.0,0.0,-0.043372295953986395
35,N[O] + [H] = [NH2] + [OH],0.0,50000000000000.0,0.0,-0.05090244118002829
36,N = [NH2] + [H],93470.0,2.2e+16,0.0,0.1320484008089977
37,N[O] = [NH]O,43980.0,1.0999999999999999e+29,-3.99,0.010384280665988399
