,rxn,Ea,A,beta,deltaE
0,[N][NH] + [NH] = N#N + [NH2],0.0,50000000000000.0,0.0,-0.21804057659596765
1,[NH2] + [O] = N=O + [H],0.0,66000000000000.0,0.0,0.05435529686101859
2,[NH] + [N] = N#N + [H],0.0,30000000000000.0,0.0,-0.10234680164398924
3,[OH] + [OH] = OO,0.0,74000000000000.0,-0.37,-0.0011908051519924356
4,[N][NH] = N#N + [H],0.0,65000000.0,0.0,-0.11438170152499083
5,[N][NH] + [O] = [N]O[N] + [H],0.0,100000000000000.0,0.0,0.04053683638602479
6,[NH] + [H] = [N] + [H][H],0.0,30000000000000.0,0.0,-0.05156281852899269
7,[H] + [H] = [H][H],0.0,1e+18,-1.0,-0.1303717571419999
8,[N]O[N] = N#N + [O],56020.0,79100000000.0,0.0,-0.1549185379109872
9,[O] + O[O] = [OH] + O=O,0.0,20000000000000.0,0.0,-0.049114977233983836
10,[N]O[N] + [O] = N#N + O=O,10810.0,1400000000000.0,0.0,-0.21096700157698933
11,[N][NH] + [N]=O = N#N + N=O,0.0,50000000000000.0,0.0,-0.15577260952500183
12,[O] + [H][H] = [H] + [OH],6260.0,38700.0,2.7,0.024451878400014948
13,O[O] + O[O] = O=O + OO,-1630.0,130000000000.0,0.0,-0.043372295953986395
14,N[NH] + [H] = [NH][NH] + [H][H],-10.0,240000000.0,1.5,0.0057448997609839125
15,[N]O[N] + [OH] = N#N + O[O],21060.0,2000000000000.0,0.0,-0.16185202434303392
16,[NH2] + [OH] = [NH] + O,1000.0,4000000.0,2.0,-0.03310200476298064
17,[O] + [H] = [OH],0.0,5e+17,-1.0,-0.10591987874200015
18,[NH2] + [NH] = [NH][NH] + [H],0.0,50000000000000.0,0.0,0.07708532474001117
19,N=O + [OH] = [N]=O + O,-950.0,13000000.0,1.9,-0.09536997183397489
20,[NH2] + [NH2] = NN,11882.0,5.6e+48,-11.3,-0.05298976858499316
21,[H] + O[O] = O=O + [H][H],1068.0,44800000000000.0,0.0,-0.07356685563399878
22,[H] + OO = O[O] + [H][H],5200.0,12100000.0,2.0,-0.03019455968001239
23,O[O] + [N]=O = [O][N][O] + [OH],-480.0,2110000000000.0,0.0,0.0590271970820595
24,[NH2] + [NH2] = N + [NH],10000.0,50000000000000.0,0.0,-0.02838952573799247
25,N[O] + [OH] = N=O + O,0.0,100000000000000.0,0.0,-0.027388145411009646
26,[N][NH] + [NH2] = N#N + N,0.0,50000000000000.0,0.0,-0.24643010233398854
27,N[NH] + [NH] = [NH][NH] + [NH2],0.0,20000000000000.0,0.0,0.03245778183196535
28,[NH][NH] + [O] = [NH2] + [N]=O,0.0,10000000000000.0,0.0,-0.08499799494995841
29,[NH2] + N=O = N + [N]=O,-1250.0,3600000.0,1.63,-0.09065749280898672
30,N[NH] + O[O] = NN + O=O,2126.0,920000.0,1.94,-0.04081240998499425
31,N=O + O=O = O[O] + [N]=O,13000.0,10000000000000.0,0.0,-0.015413993507991108
32,[NH] + [O][N][O] = [N]O[N] + [OH],0.0,10000000000000.0,0.0,-0.01872024430201691
33,[O][N][O] + [H] = [N]=O + [OH],360.0,132000000000000.0,0.0,-0.15801358939199872
34,[H] + O[O] = [O] + O,671.0,3970000000000.0,0.0,-0.129827393401996
35,[NH] + [N]=O = N#N + [OH],0.0,22000000000000.0,-0.23,-0.12154507156301975
36,[OH] + O[O] = O=O + O,17330.0,5000000000000000.0,0.0,-0.07995597832598378
37,[NH2] + [H] = [NH] + [H][H],799.0,720000.0,2.32,-0.026712882070995647
38,[H] + O[O] = [OH] + [OH],635.0,84000000000000.0,0.0,-0.09898639230999606
39,N=O + [H] = [H][H] + [N]=O,660.0,900000000000.0,0.72,-0.08898084914198989
40,[N]O[N] + [H] = N#N + [OH],18880.0,387000000000000.0,0.0,-0.26083841665300156
41,[OH] + OO = O[O] + O,427.0,2000000000000.0,0.0,-0.036583682372025805
42,[H] + [N]=O = N=O,740.0,4.48e+19,-1.32,-0.041390908000010995
43,[NH2] + [NH] = N + [N],2444.0,920000.0,1.94,-0.05323946219598952
44,[NH][NH] + [OH] = [N][NH] + O,1360.0,59.0,3.4,-0.01934349100901045
45,[N][NH] + [H] = N#N + [H][H],0.0,100000000000000.0,0.0,-0.24475345866700593
46,[NH2] + O[O] = N + O=O,-1152.0,920000.0,1.94,-0.07524349930099561
47,[OH] + [H][H] = [H] + O,3430.0,216000000.0,1.51,-0.006389122691984994
48,[N][NH] + O=O = N#N + O[O],0.0,200000000000000.0,0.0,-0.17118660303299293
49,[NH][NH] + [H] = [N][NH] + [H][H],230.0,85000.0,2.63,-0.012954368317011244
50,NN + [O] = NO + [NH],-1270.0,290000000000.0,0.0,0.008591832011006773
51,[N] + [OH] = [N]=O + [H],385.0,33600000000000.0,0.0,0.01919826991903051
52,N=O + [O][N][O] = O[N][O] + [N]=O,4040.0,44000.0,2.64,-0.07780099326697609
53,[NH] + O[N][O] = [NH2] + [O][N][O],0.0,10000000000000.0,0.0,0.015533026196010269
54,[NH] + [O] = [N]=O + [H],0.0,92000000000000.0,0.0,-0.007912670209975659
55,N=O + [O] = [N]=O + [OH],0.0,25000000000000.0,0.0,-0.06452897074197494
56,[H] + OO = [OH] + O,3600.0,10000000000000.0,0.0,-0.13557007468202187
57,[N]=O + [O] = [O][N][O],0.0,1.06e+20,-1.41,0.05209371064998436
58,[NH] + [OH] = [N] + O,2000.0,500000000000.0,0.5,-0.05795194122097769
59,N[NH] + O[O] = [NH][NH] + OO,-1600.0,14000.0,2.69,0.03593945944101051
60,[N] + O=O = [N]=O + [O],6500.0,9000000000.0,1.0,-0.030673145156981718
61,[N]O[N] + [O] = [N]=O + [N]=O,23150.0,29000000000000.0,0.0,-0.14720601529995747
62,[H] + [OH] = O,0.0,2.2e+22,-2.0,-0.1367608798340001
63,[O][N][O] + [O] = [N]=O + O=O,-240.0,3900000000000.0,0.0,-0.10814217431601492
64,[NH] + [OH] = N=O + [H],0.0,20000000000000.0,0.0,0.05661630053202771
65,[N][NH] + [OH] = N#N + O,0.0,50000000000000.0,0.0,-0.2511425813589767
66,[NH2] + O[N][O] = N + [O][N][O],-4940.0,71.0,3.02,-0.012856499542010624
67,[N][NH] + [O] = [NH] + [N]=O,0.0,50000000000000.0,0.0,-0.09875650870395702
68,N[NH] = [NH][NH] + [H],69009.0,3.6e+47,-10.38,0.136116656902999
69,[N] + [N]=O = N#N + [O],355.0,27000000000000.0,0.0,-0.09443413143401358
70,[NH][NH] + [NH] = [N][NH] + [NH2],-1192.0,2400000.0,2.0,0.013758513753998614
71,[O] + OO = [OH] + O[O],4000.0,9630000.0,2.0,-0.005742681280025863
72,[NH][NH] + [O] = [N][NH] + [OH],497.0,330000000.0,1.5,0.011497510083017914
73,[O] + [O] = O=O,0.0,1.2e+17,-1.0,-0.056048463666002135
74,[NH] + [N]=O = [N]O[N] + [H],0.0,290000000000000.0,-0.4,0.1392933450899818
75,[OH] + [OH] = [O] + O,-2110.0,35700.0,2.4,-0.030841001091999942
76,[NH2] + [O] = [NH] + [OH],0.0,7000000000000.0,0.0,-0.002261003671009121
77,[NH2] + [N]=O = [N][NH] + [OH],-814.0,23000000000.0,0.425,0.09649550503297633
