,r0,r1,r2,r3,r4,p0,p1,p2,p3,rate
0,[NH2],,,,,N,[NH],,,6209092267362.101
1,[NH],[H],,,,[NH2],,,,2283961177666.876
2,[O],NN,,,,[NH][NH],O,,,1201243226555.6514
3,N[NH],[NH],,,,[NH2],[NH][NH],,,7393490522.958857
4,[N][NH],[NH2],,,,N#N,N,,,19015223860.230038
5,N[NH],,,,,[NH][NH],[H],,,516426464.0822366
6,[H],[O][N][O],,,,[N]=O,[OH],,,646716917.028847
7,N=O,,,,,[H],[N]=O,,,1472515571012.1052
8,N=O,[H],,,,[H][H],[N]=O,,,6353568267433.783
9,[H],[NH2],,,,[NH],[H][H],,,6209092267362.101
10,[NH],[NH2],,,,[NH][NH],[H],,,150023817439.86386
11,[N][NH],[O],,,,[N]O[N],[H],,,4541983324.374015
12,[NH2],,,,,[NH][NH],[H][H],,,1047825468416.2433
13,[N]=O,[NH2],,,,N=O,[NH],,,157939942537.49106
14,[H],[NH],,,,[H][H],[N],,,2283961177666.876
15,[NH2],N=O,,,,N,[N]=O,,,6353568267433.783
16,[NH],[N]=O,,,,[N]O[N],[H],,,3824227214.8090134
17,[NH],,,,,N#N,[H],,,2283961177666.876
18,[N]O[N],[O],,,,[N]=O,,,,343732901947.06415
19,[NH],[O],,,,[N]=O,[H],,,2283961177666.876
20,[NH][NH],[H],,,,[N][NH],[H][H],,,202717755244.80392
21,N=O,,,,,[N]O[N],O,,,6353568267433.783
22,[N][NH],[N]=O,,,,N#N,N=O,,,4363027265.715245
23,[N]O[N],[NH],,,,N#N,N=O,,,126439191065.1061
24,[NH][NH],[O],,,,[N]=O,[NH2],,,202717755244.80392
25,[NH][N][O],[O],,,,[OH],[N]O[N],,,4274882.714636075
26,[NH][N][O],[OH],,,,[N]O[N],O,,,59129965.557077445
27,[NH][NH],,,,,[N][NH],[H],,,3203676740.893544
28,[NH][N][O],[H],,,,[N]O[N],[H][H],,,4274882.714636075
29,[NH2],,,,,NN,,,,6209092267362.101
30,[NH][NH],[NH2],,,,N,[N][NH],,,202717755244.80392
31,[O],N#N,,,,[N]=O,[N],,,9787579638.172844
32,[NH2],[N]=O,,,,N#N,O,,,1424671045524.8257
33,N,[H],,,,[NH2],[H][H],,,5852043393936.646
34,[N][NH],,,,,N#N,[H],,,19015223860.230038
35,[N]O[N],,,,,N#N,[O],,,343732901947.06415
36,N,,,,,[NH2],[H],,,58524507634.699135
37,[NH][NH],[NH],,,,[N][NH],[NH2],,,45865878822.63237
38,[NH2],[N]=O,,,,[NH][N][O],[H],,,10505862284.595633
39,[O],[O][N][O],,,,[N]=O,O=O,,,646716917.028847
40,OO,[H],,,,O[O],[H][H],,,348200400834.4369
41,[O][N][O],,,,,[N]=O,[O],,,646716917.028847
42,[O],[NH2],,,,N=O,[H],,,910311270197.4459
43,[NH][N][O],[N]=O,,,,N=O,[N]O[N],,,107606.73301868886
44,[N][NH],[H],,,,N#N,[H][H],,,19015223860.230038
45,[H][H],,,,,[H],,,,1489424378158.7856
46,OO,[NH],[O],,,O,O[O],[N],,4050075005.8172765
47,OO,[H],[N]=O,,,O,O[O],[N],,2526323411.0160704
48,OO,[H],,,,O,,,,20222901462.74752
49,OO,[O],[NH2],,,O,O[O],[NH],,11010383909.653471
50,OO,N=O,[O],,,O,O[O],[N]=O,,11266578560.662607
51,OO,[NH],O=O,,,O,O[O],[N]=O,,4050075005.8172765
52,OO,[NH2],O=O,,,O,O[O],N=O,,9397609846.443148
53,OO,[H],O=O,,,O,O[O],[O],,11010383909.653471
54,OO,[O],[H][H],,,O,O[O],[H],,111341788235.45627
55,OO,N,[O],,,O,O[O],[NH2],,4374994414.758295
56,O[O],N[NH],[O],,,O,O=O,[NH][NH],,1264410442.7584732
57,O[O],[H][H],,,,O,,,,8649727506761.208
58,O[O],[NH],,,,O,[N]=O,,,132648675102.07072
59,O[O],[N][NH],[O],,,O,O=O,N#N,,1104372647.176707
60,O[O],[NH2],,,,O,N=O,,,307791952856.7611
61,O[O],[H],,,,O,[O],,,360613775271.54443
62,[NH2],[NH][NH],[O],,,[NH],O,[N][NH],,4270584006.3566117
63,[NH2],OO,,,,[NH],O,,,10556863327.129023
64,[NH2],[O],,,,O,[N],,,72220736508.6109
65,[NH2],[H],[N]=O,,,[NH],O,[N],,45049273690.107635
66,[NH2],[H],O[O],,,[NH],O,,,360613775271.5445
67,[NH2],[O],,,,[NH],O,,,196336619459.04413
68,[NH2],O[O],[N]=O,,,[NH],O,[O][N][O],,10285401564.33631
69,[NH2],[N]=O,,,,[NH],O,[N][NH],,1490723661.7538269
70,[NH2],N=O,[N]=O,,,[NH],O,[N]O[N],,2485243913.243821
71,[NH2],N=O,[O],,,[NH],O,[N]=O,,200905069761.53738
72,[NH2],[O],[H][H],,,[NH],O,[H],,1985441242199.3618
73,N,[O],,,,[NH],O,,,78014683283.90715
74,[NH2],[N]O[N],[H],,,[NH],O,N#N,,10869117909.533867
75,N[NH],[H],O[O],,,[NH][NH],O,,,3673856365.57454
76,N[NH],[O],[NH2],,,[NH][NH],O,[NH],,2000235677.7742124
77,N[NH],N=O,[O],,,[NH][NH],O,[N]=O,,2046778076.80483
78,N[NH],[NH2],O=O,,,[NH][NH],O,N=O,,1707246055.6236346
79,N[NH],[H],O=O,,,[NH][NH],O,[O],,2000235677.7742124
80,[N]O[N],[NH],[O],,,N#N,O[O],[N],,3998111522.895073
81,[N]O[N],[H],[N]=O,,,N#N,O[O],[N],,2493910045.032542
82,[N]O[N],[H],,,,N#N,,,,19963436540.91582
83,[N]O[N],[O],[NH2],,,N#N,O[O],[NH],,10869117909.533869
84,[N]O[N],N=O,[O],,,N#N,O[O],[N]=O,,11122025518.610853
85,[N]O[N],[NH],O=O,,,N#N,O[O],[N]=O,,3998111522.895073
86,[N]O[N],[NH2],O=O,,,N#N,O[O],N=O,,9277036143.965101
87,[N]O[N],[H],O=O,,,N#N,O[O],[O],,10869117909.533869
88,[N]O[N],[O],[H][H],,,N#N,O[O],[H],,109913245034.8512
89,[N]O[N],N,[O],,,N#N,O[O],[NH2],,4318862133.941399
90,N[NH],[H],O[O],,,N,N=O,,,3673856365.57454
91,N[NH],[O],[NH2],,,N,N=O,[NH],,2000235677.7742124
92,N[NH],[O],,,,N,[N]=O,,,2046778076.80483
93,N[NH],[NH2],O=O,,,N,N=O,,,1707246055.6236346
94,N[NH],[H],O=O,,,N,N=O,[O],,2000235677.7742124
95,[H][H],[NH][NH],[O],,,O,[H],[N][NH],,102434766730.4214
96,[H][H],OO,,,,O,[H],,,253218255561.71985
97,[H][H],[NH],[O],,,O,[H],[N],,1732295696875.944
98,[H][H],[N]=O,,,,O,[N],,,1080557561905.4446
99,[H][H],O[O],,,,O,,,,8649727506761.21
